,n_features,classifier,accuracy,f1
0,3,RandomForest,0.9636363636363636,0.9635705255908463
1,3,SVM_RBF,0.9568181818181818,0.9551404042231819
2,3,KNN,0.9386363636363636,0.9347868989422584
3,3,DecisionTree,0.95,0.9500758120783795
4,3,GradientBoosting,0.9522727272727273,0.9519013820237648
5,3,LogisticRegression,0.9,0.8946425593334271
6,3,MLP,0.95,0.9463490404705934
7,3,GaussianNB,0.9590909090909091,0.9576018957999058
8,3,XGBoost,0.9590909090909091,0.9579969061034529
9,3,LightGBM,0.9477272727272728,0.9469795608755814
10,4,RandomForest,0.9704545454545455,0.9705901216170794
11,4,SVM_RBF,0.9727272727272728,0.9729056603306537
12,4,KNN,0.9522727272727273,0.9511113547698913
13,4,DecisionTree,0.9568181818181818,0.958031255347433
14,4,GradientBoosting,0.9727272727272728,0.9729539466381573
15,4,LogisticRegression,0.9454545454545454,0.9440857887545109
16,4,MLP,0.9568181818181818,0.9552367337367081
17,4,GaussianNB,0.9818181818181818,0.9819219398487691
18,4,XGBoost,0.9636363636363636,0.9631635859631854
19,4,LightGBM,0.9681818181818181,0.9685432239989363
20,5,RandomForest,0.9954545454545455,0.9954517027687759
21,5,SVM_RBF,0.9886363636363636,0.9886166465113834
22,5,KNN,0.9863636363636363,0.986270387656197
23,5,DecisionTree,0.9840909090909091,0.9840821566110399
24,5,GradientBoosting,0.9886363636363636,0.9886221288339387
25,5,LogisticRegression,0.975,0.9748955835984663
26,5,MLP,0.9818181818181818,0.981804171438318
27,5,GaussianNB,0.990909090909091,0.9909034055375517
28,5,XGBoost,0.9863636363636363,0.9862716935887668
29,5,LightGBM,0.9840909090909091,0.9840183992302093
30,7,RandomForest,0.9954545454545455,0.9954517027687759
31,7,SVM_RBF,0.9886363636363636,0.9886735002267738
32,7,KNN,0.9818181818181818,0.9817369194776128
33,7,DecisionTree,0.9818181818181818,0.9816944573042136
34,7,GradientBoosting,0.9863636363636363,0.986449882475646
35,7,LogisticRegression,0.9727272727272728,0.9724640256149185
36,7,MLP,0.990909090909091,0.990894856106666
37,7,GaussianNB,0.9954545454545455,0.9954431533378901
38,7,XGBoost,0.9886363636363636,0.9884930494686593
39,7,LightGBM,0.9886363636363636,0.9885693360982193
