,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
N,880.0,246.7375,77.38886017864402,6.0,201.0,257.0,307.0,383.0,-0.6287907386868614,0.11021376397447558
P,880.0,14.56215909090909,21.967755092861445,2.9,6.8,8.1,10.55,125.0,3.39959703829282,10.459983242787114
K,880.0,499.9784090909091,124.22283818395218,11.0,412.0,475.0,581.0,887.0,0.43179110968165213,0.16416335414703598
pH,880.0,7.5104999999999995,0.4649121658515391,0.9,7.35,7.5,7.63,11.15,-5.10981570693358,99.93619245594216
EC,880.0,0.5436590909090908,0.1415966877712754,0.1,0.43,0.545,0.64,0.95,0.10298106784113634,-0.45773663479483906
OC,880.0,0.6179886363636365,0.8429861461771495,0.1,0.38,0.59,0.78,24.0,24.324069246471623,675.0105346316151
S,880.0,7.545079545454546,4.424183642638545,0.64,4.7,6.64,8.75,31.0,2.4610668291806945,7.663854336590619
Zn,880.0,0.46927272727272723,1.894234091243586,0.07,0.28,0.36,0.47,42.0,20.88544808288391,438.1865877380155
Fe,880.0,4.140522727272727,3.1100108753080073,0.21,2.05,3.565,6.32,44.0,3.591439360748309,38.681113288383784
Cu,880.0,0.9524431818181819,0.4658998011958898,0.09,0.63,0.93,1.25,3.02,0.4312353445451448,-0.12126902342048851
Mn,880.0,8.666500000000001,4.298827924499841,0.11,6.2250000000000005,8.344999999999999,11.4725,31.0,0.6065513015806336,1.0870916784716624
B,880.0,0.5901590909090909,0.5708004655532883,0.06,0.27,0.405,0.61,2.82,2.1325769663194443,3.915971104556465
