,Feature Set,Classifier,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std,ROC-AUC,Train Time (s)
0,all_features,RandomForest,0.9955,0.9957,0.9955,0.9955,0.9943,0.0048,0.9999945887445888,0.32
1,all_features,SVM_RBF,0.9886,0.9896,0.9886,0.9887,0.9852,0.0061,0.9999945887445888,0.11
2,all_features,KNN,0.9818,0.9829,0.9818,0.9817,0.9665,0.0055,0.9987418831168831,0.00
3,all_features,DecisionTree,0.9818,0.9830,0.9818,0.9817,0.9852,0.0077,0.9904707792207793,0.01
4,all_features,GradientBoosting,0.9864,0.9875,0.9864,0.9864,0.9847,0.0056,0.9999134199134198,9.05
5,all_features,LogisticRegression,0.9727,0.9740,0.9727,0.9725,0.9676,0.0113,0.9998160173160173,0.03
6,all_features,MLP,0.9909,0.9915,0.9909,0.9909,0.9631,0.0097,0.99995670995671,0.80
7,all_features,GaussianNB,0.9955,0.9959,0.9955,0.9954,0.9943,0.0051,0.9999675324675324,0.00
8,all_features,XGBoost,0.9886,0.9894,0.9886,0.9885,0.9898,0.0046,0.9999675324675324,0.48
9,all_features,LightGBM,0.9886,0.9891,0.9886,0.9886,0.9903,0.0073,0.9999621212121212,0.54
10,top5,RandomForest,0.9955,0.9957,0.9955,0.9955,0.9915,0.0060,0.9999621212121211,0.32
11,top5,SVM_RBF,0.9886,0.9893,0.9886,0.9886,0.9830,0.0060,0.9999350649350649,0.08
12,top5,KNN,0.9864,0.9880,0.9864,0.9863,0.9790,0.0082,0.9998917748917749,0.00
13,top5,DecisionTree,0.9841,0.9844,0.9841,0.9841,0.9847,0.0056,0.992840909090909,0.00
14,top5,GradientBoosting,0.9886,0.9893,0.9886,0.9886,0.9812,0.0082,0.9998160173160173,6.40
15,top5,LogisticRegression,0.9750,0.9771,0.9750,0.9749,0.9659,0.0054,0.9997510822510822,0.03
16,top5,MLP,0.9818,0.9823,0.9818,0.9818,0.9653,0.0111,0.9999025974025973,0.67
17,top5,GaussianNB,0.9909,0.9911,0.9909,0.9909,0.9892,0.0052,0.9999458874458874,0.00
18,top5,XGBoost,0.9864,0.9874,0.9864,0.9863,0.9858,0.0060,0.9999296536796536,0.44
19,top5,LightGBM,0.9841,0.9846,0.9841,0.9840,0.9864,0.0061,0.9998809523809524,0.47
20,top4,RandomForest,0.9705,0.9723,0.9705,0.9706,0.9778,0.0068,0.9996753246753245,0.32
21,top4,SVM_RBF,0.9727,0.9743,0.9727,0.9729,0.9631,0.0080,0.9995346320346321,0.07
22,top4,KNN,0.9523,0.9520,0.9523,0.9511,0.9619,0.0075,0.9980113636363637,0.00
23,top4,DecisionTree,0.9568,0.9599,0.9568,0.9580,0.9670,0.0061,0.9796753246753246,0.00
24,top4,GradientBoosting,0.9727,0.9750,0.9727,0.9730,0.9631,0.0119,0.9995129870129871,6.73
25,top4,LogisticRegression,0.9455,0.9459,0.9455,0.9441,0.9392,0.0064,0.9986201298701299,0.03
26,top4,MLP,0.9568,0.9584,0.9568,0.9552,0.9472,0.0110,0.9994805194805195,0.53
27,top4,GaussianNB,0.9818,0.9823,0.9818,0.9819,0.9739,0.0071,0.9996699134199134,0.00
28,top4,XGBoost,0.9636,0.9652,0.9636,0.9632,0.9727,0.0123,0.9990422077922076,0.42
29,top4,LightGBM,0.9682,0.9696,0.9682,0.9685,0.9716,0.0086,0.9989231601731602,0.47
30,top3,RandomForest,0.9636,0.9665,0.9636,0.9636,0.9563,0.0114,0.9984253246753246,0.27
31,top3,SVM_RBF,0.9568,0.9640,0.9568,0.9551,0.9409,0.0125,0.9982629870129871,0.07
32,top3,KNN,0.9386,0.9435,0.9386,0.9348,0.9358,0.0103,0.9914772727272727,0.00
33,top3,DecisionTree,0.9500,0.9510,0.9500,0.9501,0.9466,0.0102,0.9853896103896105,0.00
34,top3,GradientBoosting,0.9523,0.9572,0.9523,0.9519,0.9494,0.0107,0.9975216450216449,6.29
35,top3,LogisticRegression,0.9000,0.9024,0.9000,0.8946,0.8989,0.0226,0.9942370129870132,0.03
36,top3,MLP,0.9500,0.9550,0.9500,0.9463,0.9108,0.0124,0.9980411255411255,0.51
37,top3,GaussianNB,0.9591,0.9641,0.9591,0.9576,0.9534,0.0093,0.9981493506493507,0.00
38,top3,XGBoost,0.9591,0.9598,0.9591,0.9580,0.9483,0.0124,0.997711038961039,0.47
39,top3,LightGBM,0.9477,0.9481,0.9477,0.9470,0.9460,0.0097,0.9943452380952381,0.49
