,Classifier,Mean_Rank,CV_Accuracy_Mean,CV_Accuracy_Std
7,GaussianNB,2.75,0.9948863636363635,0.005931992334608275
9,LightGBM,3.35,0.9931818181818182,0.007537783614444105
0,RandomForest,3.4,0.99375,0.005360216552304893
8,XGBoost,3.55,0.9931818181818182,0.0061195054626528335
3,DecisionTree,4.65,0.9880681818181818,0.010614512325153076
1,SVM_RBF,5.4,0.9863636363636363,0.00887528372262119
4,GradientBoosting,5.95,0.984659090909091,0.009857586120964454
5,LogisticRegression,8.35,0.9698863636363637,0.013695421355902206
6,MLP,8.65,0.9681818181818181,0.01325216339737567
2,KNN,8.95,0.96875,0.008135125604134277
